buildingName,constructionYear,envelopePropertyType,usageType_groupName
building1,,,
building2,,,
building3,,specific_building,
building4,,,
building5,,,
building6,,buildings_group,group1
building7,,,
building8,,,
building9,,,
building10,,buildings_group,group1
building11,,buildings_group,group1
building12,,,
building13,,,
building14,2000,archetype,office
building15,,,
building16,,,
building17,,,
building18,,,
building19,,,
building20,,,
building21,,,
building22,,,
building23,,buildings_group,group1
building24,,buildings_group,group1
building25,,buildings_group,group1
building26,,,
building27,,,
building28,,,
building29,,,
building30,,,
building31,,,
building32,,,
building33,,buildings_group,group1
building34,,,
building35,,buildings_group,group1
building36,,,
building37,,,
building38,,buildings_group,group1
building39,,,
building40,,buildings_group,group1
building41,,,
building42,,buildings_group,group1
