vegetationType,solidType,root_fraction_layer_1,root_fraction_layer_2,root_fraction_layer_3,root_fraction_layer_4,minCanopyRes,leafAreaIndex,tallVegCorrFac,momentumRoughLength,heatRoughLength,thermalCondStable,thermalCondUnstable,albedo,emissivity,density,heatCapacity
grass_default,grass,0.35,0.38,0.23,0.04,110,2,0,0.03,3.00E-04,10,10,0.18,0.95,1000,1600
tree_default,tree,0.26,0.39,0.29,0.06,500,5,0.03,2,2,20,15,0.12,0.97,1200,2000
ground_default,ground,0,0,0,0,0,0,0,0.005,0.00005,0,0,0.17,0.94,1600,1600
bare_soil,ground,0,0,0,0,0,0,0,0.005,0.00005,0,0,0.1,0.94,1600,1500
crops_mixed_farming,grass,0.24,0.41,0.31,0.04,180,3,0,0.1,0.001,10,10,0.22,0.95,1000,1700
short_grass,grass,0.35,0.38,0.23,0.04,110,2,0,0.03,3.00E-04,10,10,0.18,0.95,1000,1600
evergreen_needleleaf_tree,tree,0.26,0.39,0.29,0.06,500,5,0.03,2,2,20,15,0.12,0.97,1100,1800
deciduous_needleleaf_tree,tree,0.26,0.38,0.29,0.07,500,5,0.03,2,2,20,15,0.16,0.97,1100,1800
evergreen_broadleaf_tree,tree,0.24,0.38,0.31,0.07,175,5,0.03,2,2,20,15,0.12,0.97,1100,1900
deciduous_broadleaf_tree,tree,0.25,0.34,0.27,0.14,240,6,0.03,2,2,20,15,0.16,0.97,1100,1900
tall_grass,grass,0.27,0.27,0.27,0.19,100,2,0,0.47,4.70E-03,10,10,0.18,0.97,1000,1700
tundra,grass,0.47,0.45,0.08,0,80,1,0,0.034,3.40E-04,10,10,0.25,0.97,900,1500
irrigated_crops,grass,0.24,0.41,0.31,0.04,180,3,0,0.5,5.00E-03,10,10,0.22,0.97,1000,1700
semidesert,ground,0.17,0.31,0.33,0.19,150,0.5,0,0.17,1.70E-03,10,10,0.3,0.97,1400,1400
bogs_marshes,grass,0.25,0.34,0.27,0.14,240,4,0,0.83,8.30E-03,10,10,0.15,0.97,1200,1900
evergreen_shrubs,tree,0.23,0.36,0.3,0.11,225,3,0,0.1,1.00E-03,10,10,0.15,0.97,1100,1800
deciduous_shrubs,tree,0.23,0.36,0.3,0.11,225,1.5,0,0.25,2.50E-03,10,10,0.2,0.97,1100,1800
mixed_forest_woodland,tree,0.19,0.35,0.36,0.1,250,5,0.03,2,2,20,15,0.16,0.97,1200,2000
interrupted_forest,tree,0.19,0.35,0.36,0.1,175,2.5,0.03,1.1,1.1,20,15,0.16,0.97,1200,1900
